tempo, vel, ref
5.895953, 0.257229, 0.292009
5.903953, 0.277219, 0.308656
5.911952, 0.292582, 0.325208
5.919952, 0.308426, 0.341662
5.927952, 0.329398, 0.358012
5.935952, 0.346703, 0.374252
5.943952, 0.362714, 0.390379
5.951952, 0.382129, 0.406387
5.959952, 0.395814, 0.422271
5.967952, 0.411945, 0.438026
5.975952, 0.422971, 0.453648
5.983952, 0.446484, 0.469132
5.991951, 0.458636, 0.484472
5.999951, 0.473328, 0.499666
6.007951, 0.488189, 0.514707
6.015951, 0.502977, 0.529591
6.023951, 0.520762, 0.544314
6.031951, 0.541519, 0.558871
6.039951, 0.552856, 0.573258
6.047951, 0.563761, 0.587470
6.055951, 0.580228, 0.601504
6.063951, 0.595040, 0.615354
6.071950, 0.608654, 0.629017
6.079950, 0.621190, 0.642488
6.087950, 0.632623, 0.655763
6.095950, 0.646812, 0.668839
6.103950, 0.659443, 0.681711
6.111950, 0.671404, 0.694375
6.119950, 0.683436, 0.706828
6.127950, 0.702227, 0.719066
6.135950, 0.712941, 0.731084
6.143950, 0.722888, 0.742880
6.151949, 0.736718, 0.754450
6.159949, 0.753040, 0.765790
6.167949, 0.761525, 0.776896
6.175949, 0.769123, 0.787766
6.183949, 0.782737, 0.798396
6.191949, 0.794889, 0.808783
6.199949, 0.801193, 0.818923
6.207949, 0.812266, 0.828814
6.215949, 0.824730, 0.838453
6.223948, 0.830075, 0.847836
6.231948, 0.841580, 0.856961
6.239948, 0.853852, 0.865825
6.247948, 0.861258, 0.874425
6.255948, 0.867106, 0.882759
6.263948, 0.880457, 0.890823
6.271948, 0.885130, 0.898617
6.279948, 0.890811, 0.906137
6.287948, 0.903634, 0.913381
6.295948, 0.907157, 0.920346
6.303947, 0.917728, 0.927032
6.311947, 0.927339, 0.933435
6.319947, 0.931797, 0.939553
6.327947, 0.935081, 0.945386
6.335947, 0.943086, 0.950930
6.343947, 0.942271, 0.956185
6.351947, 0.955286, 0.961149
6.359947, 0.958426, 0.965820
6.367947, 0.962788, 0.970197
6.375947, 0.971033, 0.974278
6.383946, 0.971033, 0.978062
6.391946, 0.974940, 0.981549
6.399946, 0.980693, 0.984736
6.407946, 0.978727, 0.987624
6.415946, 0.990160, 0.990211
6.423946, 0.991263, 0.992496
6.431946, 0.989153, 0.994479
6.439946, 0.997614, 0.996158
6.447946, 0.997662, 0.997535
6.455945, 0.998118, 0.998608
6.463945, 1.002216, 0.999376
6.471945, 0.998549, 0.999840
6.479945, 1.004589, 1.000000
6.487945, 1.001785, 0.999855
6.495945, 1.002959, 0.999405
6.503945, 1.007417, 0.998651
